commodity,signal,confidence,timestamp
ahmedabad(guj),demand rising,0.08,2009-08-01
ahmedabad(guj),high volatility,0.03,2009-09-01
ahmedabad(guj),demand rising,0.93,2009-10-01
ahmedabad(guj),demand rising,0.1,2009-11-01
ahmedabad(guj),price falling,0.06,2009-12-01
ahmedabad(guj),price falling,0.09,2010-01-01
ahmedabad(guj),price falling,0.12,2010-02-01
ahmedabad(guj),price falling,0.31,2010-03-01
ahmedabad(guj),price falling,0.25,2010-04-01
ahmedabad(guj),high volatility,0.05,2010-05-01
ahmedabad(guj),demand rising,0.22,2010-06-01
ahmedabad(guj),demand rising,0.19,2010-07-01
ahmedabad(guj),demand rising,0.18,2010-08-01
ahmedabad(guj),demand rising,0.47,2010-09-01
ahmedabad(guj),demand rising,0.18,2010-10-01
ahmedabad(guj),demand rising,0.16,2010-11-01
ahmedabad(guj),demand rising,0.46,2010-12-01
ahmedabad(guj),high volatility,0.02,2011-01-01
ahmedabad(guj),price falling,0.62,2011-02-01
ahmedabad(guj),price falling,0.44,2011-03-01
ahmedabad(guj),price falling,0.13,2011-04-01
ahmedabad(guj),high volatility,0.02,2011-05-01
ahmedabad(guj),demand rising,0.21,2011-06-01
ahmedabad(guj),demand rising,0.34,2011-07-01
ahmedabad(guj),demand rising,0.25,2011-08-01
ahmedabad(guj),demand rising,0.09,2011-09-01
ahmedabad(guj),price falling,0.16,2011-10-01
ahmedabad(guj),high volatility,0.03,2011-11-01
ahmedabad(guj),price falling,0.18,2011-12-01
ahmedabad(guj),price falling,0.3,2012-01-01
ahmedabad(guj),price falling,0.22,2012-02-01
ahmedabad(guj),demand rising,0.22,2012-03-01
ahmedabad(guj),high volatility,0.04,2012-04-01
ahmedabad(guj),price falling,0.12,2012-05-01
ahmedabad(guj),demand rising,0.15,2012-06-01
ahmedabad(guj),demand rising,0.14,2012-07-01
ahmedabad(guj),demand rising,0.21,2012-08-01
ahmedabad(guj),price falling,0.09,2012-09-01
ahmedabad(guj),demand rising,0.3,2012-10-01
ahmedabad(guj),demand rising,0.37,2012-11-01
ahmedabad(guj),demand rising,0.12,2012-12-01
ahmedabad(guj),demand rising,0.13,2013-01-01
ahmedabad(guj),high volatility,0.03,2013-02-01
ahmedabad(guj),price falling,0.27,2013-03-01
ahmedabad(guj),price falling,0.21,2013-04-01
ahmedabad(guj),price falling,0.06,2013-05-01
ahmedabad(guj),demand rising,0.61,2013-06-01
ahmedabad(guj),demand rising,0.58,2013-07-01
ahmedabad(guj),demand rising,0.79,2013-08-01
ahmedabad(guj),demand rising,0.18,2013-09-01
ahmedabad(guj),price falling,0.19,2013-10-01
ahmedabad(guj),price falling,0.05,2013-11-01
ahmedabad(guj),price falling,0.51,2013-12-01
ahmedabad(guj),price falling,0.27,2014-01-01
ahmedabad(guj),price falling,0.32,2014-02-01
ahmedabad(guj),demand rising,0.07,2014-03-01
ahmedabad(guj),price falling,0.05,2014-04-01
ahmedabad(guj),demand rising,0.1,2014-05-01
ahmedabad(guj),demand rising,0.3,2014-06-01
ahmedabad(guj),demand rising,0.48,2014-07-01
ahmedabad(guj),price falling,0.14,2014-08-01
ahmedabad(guj),price falling,0.08,2014-09-01
ahmedabad(guj),high volatility,0.02,2014-10-01
ahmedabad(guj),price falling,0.16,2014-11-01
ahmedabad(guj),demand rising,0.42,2014-12-01
ahmedabad(guj),price falling,0.33,2015-01-01
ahmedabad(guj),demand rising,0.41,2015-02-01
ahmedabad(guj),price falling,0.2,2015-03-01
ahmedabad(guj),price falling,0.13,2015-04-01
ahmedabad(guj),high volatility,0.04,2015-05-01
ahmedabad(guj),demand rising,0.38,2015-06-01
ahmedabad(guj),demand rising,0.23,2015-07-01
ahmedabad(guj),demand rising,0.86,2015-08-01
ahmedabad(guj),high volatility,0.03,2015-09-01
ahmedabad(guj),price falling,0.32,2015-10-01
ahmedabad(guj),price falling,0.29,2015-11-01
ahmedabad(guj),price falling,0.26,2015-12-01
ahmedabad(guj),price falling,0.27,2016-01-01
ahmedabad(guj),price falling,0.17,2016-02-01
ahmednagar(ms),demand rising,0.06,2001-10-01
ahmednagar(ms),demand rising,0.33,2001-11-01
ahmednagar(ms),price falling,0.29,2001-12-01
ahmednagar(ms),price falling,0.39,2002-01-01
ahmednagar(ms),price falling,0.23,2002-02-01
ahmednagar(ms),price falling,0.06,2002-04-01
ahmednagar(ms),high volatility,0.03,2002-05-01
ahmednagar(ms),demand rising,0.65,2002-06-01
ahmednagar(ms),demand rising,0.24,2002-07-01
ahmednagar(ms),demand rising,0.2,2002-08-01
ahmednagar(ms),high volatility,0.03,2002-09-01
ahmednagar(ms),demand rising,0.06,2002-10-01
ahmednagar(ms),price falling,0.59,2003-02-01
ahmednagar(ms),demand rising,0.06,2003-03-01
ahmednagar(ms),demand rising,0.25,2003-04-01
ahmednagar(ms),demand rising,0.12,2003-05-01
ahmednagar(ms),demand rising,0.25,2003-06-01
ahmednagar(ms),high volatility,0.0,2003-07-01
ahmednagar(ms),demand rising,0.1,2003-08-01
ahmednagar(ms),demand rising,0.08,2003-09-01
ahmednagar(ms),demand rising,0.52,2003-10-01
ahmednagar(ms),price falling,0.1,2003-11-01
ahmednagar(ms),demand rising,0.12,2003-12-01
ahmednagar(ms),high volatility,0.04,2004-01-01
ahmednagar(ms),price falling,0.24,2004-02-01
ahmednagar(ms),price falling,0.29,2004-03-01
ahmednagar(ms),price falling,0.24,2004-04-01
ahmednagar(ms),high volatility,0.04,2004-05-01
ahmednagar(ms),demand rising,0.1,2004-06-01
ahmednagar(ms),price falling,0.06,2004-07-01
ahmednagar(ms),demand rising,0.1,2004-08-01
ahmednagar(ms),high volatility,0.03,2004-09-01
ahmednagar(ms),demand rising,0.37,2004-10-01
ahmednagar(ms),price falling,0.26,2004-11-01
ahmednagar(ms),high volatility,0.05,2004-12-01
ahmednagar(ms),price falling,0.05,2005-01-01
ahmednagar(ms),price falling,0.27,2005-02-01
ahmednagar(ms),demand rising,0.07,2005-03-01
ahmednagar(ms),high volatility,0.0,2005-04-01
ahmednagar(ms),demand rising,0.08,2005-05-01
ahmednagar(ms),demand rising,0.37,2005-06-01
ahmednagar(ms),demand rising,0.1,2005-07-01
ahmednagar(ms),demand rising,0.75,2005-08-01
ahmednagar(ms),demand rising,0.22,2005-09-01
ahmednagar(ms),demand rising,0.26,2005-10-01
ahmednagar(ms),high volatility,0.01,2005-11-01
ahmednagar(ms),price falling,0.56,2005-12-01
ahmednagar(ms),price falling,0.35,2006-01-01
ahmednagar(ms),price falling,0.26,2006-02-01
ahmednagar(ms),high volatility,0.03,2006-03-01
ahmednagar(ms),price falling,0.12,2006-06-01
ahmednagar(ms),demand rising,0.36,2006-07-01
ahmednagar(ms),demand rising,0.27,2006-09-01
ahmednagar(ms),demand rising,0.34,2006-11-01
ahmednagar(ms),demand rising,0.52,2006-12-01
ahmednagar(ms),demand rising,0.37,2007-01-01
ahmednagar(ms),high volatility,0.05,2007-02-01
ahmednagar(ms),price falling,0.35,2007-03-01
ahmednagar(ms),price falling,0.09,2007-04-01
ahmednagar(ms),price falling,0.18,2007-05-01
ahmednagar(ms),demand rising,0.62,2007-06-01
ahmednagar(ms),high volatility,0.0,2007-07-01
ahmednagar(ms),demand rising,0.41,2007-08-01
ahmednagar(ms),demand rising,0.2,2007-09-01
ahmednagar(ms),price falling,0.12,2007-10-01
ahmednagar(ms),price falling,0.31,2007-11-01
ahmednagar(ms),price falling,0.22,2007-12-01
ahmednagar(ms),price falling,0.11,2008-01-01
ahmednagar(ms),price falling,0.32,2008-02-01
ahmednagar(ms),price falling,0.07,2008-03-01
ahmednagar(ms),price falling,0.07,2008-04-01
ahmednagar(ms),price falling,0.18,2008-05-01
ahmednagar(ms),demand rising,1.41,2008-09-01
ahmednagar(ms),demand rising,0.11,2008-10-01
ahmednagar(ms),demand rising,0.88,2008-11-01
ahmednagar(ms),price falling,0.11,2008-12-01
ahmednagar(ms),demand rising,0.21,2009-01-01
ahmednagar(ms),price falling,0.31,2009-02-01
ahmednagar(ms),price falling,0.3,2009-03-01
ahmednagar(ms),price falling,0.23,2009-04-01
ahmednagar(ms),high volatility,0.02,2009-05-01
ahmednagar(ms),demand rising,0.33,2009-06-01
ahmednagar(ms),high volatility,0.0,2009-07-01
ahmednagar(ms),high volatility,0.01,2009-08-01
ahmednagar(ms),demand rising,0.07,2009-09-01
ahmednagar(ms),demand rising,1.05,2009-10-01
ahmednagar(ms),demand rising,0.08,2009-11-01
ahmednagar(ms),demand rising,0.27,2009-12-01
ahmednagar(ms),price falling,0.31,2010-01-01
ahmednagar(ms),price falling,0.26,2010-02-01
ahmednagar(ms),price falling,0.38,2010-03-01
ahmednagar(ms),price falling,0.2,2010-04-01
ahmednagar(ms),high volatility,0.04,2010-05-01
ahmednagar(ms),demand rising,0.3,2010-06-01
ahmednagar(ms),high volatility,0.04,2010-07-01
ahmednagar(ms),demand rising,0.24,2010-08-01
ahmednagar(ms),demand rising,0.96,2010-09-01
ahmednagar(ms),price falling,0.09,2010-10-01
ahmednagar(ms),demand rising,0.43,2010-11-01
ahmednagar(ms),demand rising,0.85,2010-12-01
ahmednagar(ms),high volatility,0.04,2011-01-01
ahmednagar(ms),price falling,0.87,2011-03-01
ahmednagar(ms),high volatility,0.03,2011-04-01
ahmednagar(ms),high volatility,0.0,2011-12-01
ahmednagar(ms),price falling,0.24,2012-01-01
ahmednagar(ms),demand rising,0.15,2012-06-01
ahmednagar(ms),demand rising,0.95,2012-10-01
ahmednagar(ms),demand rising,0.36,2012-11-01
ahmednagar(ms),price falling,0.09,2012-12-01
ahmednagar(ms),demand rising,0.78,2013-02-01
ahmednagar(ms),price falling,0.31,2013-06-01
ahmednagar(ms),demand rising,0.36,2013-07-01
ahmednagar(ms),demand rising,1.2,2013-08-01
ahmednagar(ms),price falling,0.23,2013-09-01
ahmednagar(ms),demand rising,0.14,2013-10-01
ahmednagar(ms),price falling,0.24,2013-11-01
ahmednagar(ms),price falling,0.53,2013-12-01
ahmednagar(ms),price falling,0.33,2014-01-01
ahmednagar(ms),price falling,0.3,2014-02-01
ahmednagar(ms),demand rising,0.23,2014-03-01
ahmednagar(ms),demand rising,0.13,2014-04-01
ahmednagar(ms),demand rising,0.08,2014-05-01
ahmednagar(ms),demand rising,0.81,2014-06-01
ahmednagar(ms),demand rising,0.1,2014-07-01
ahmednagar(ms),price falling,0.1,2014-08-01
ahmednagar(ms),price falling,0.07,2014-09-01
ahmednagar(ms),high volatility,0.03,2014-10-01
ahmednagar(ms),price falling,0.08,2014-11-01
ahmednagar(ms),high volatility,0.03,2014-12-01
ahmednagar(ms),price falling,0.15,2015-01-01
ahmednagar(ms),high volatility,0.01,2015-02-01
ahmednagar(ms),price falling,0.17,2015-03-01
ahmednagar(ms),high volatility,0.02,2015-04-01
ahmednagar(ms),demand rising,0.25,2015-05-01
ahmednagar(ms),demand rising,0.44,2015-06-01
ahmednagar(ms),demand rising,0.05,2015-07-01
ahmednagar(ms),demand rising,1.87,2015-08-01
ahmednagar(ms),demand rising,0.05,2015-09-01
ahmednagar(ms),price falling,0.34,2015-10-01
ahmednagar(ms),price falling,0.28,2015-11-01
ahmednagar(ms),price falling,0.37,2015-12-01
ahmednagar(ms),price falling,0.18,2016-01-01
ahmednagar(ms),price falling,0.3,2016-02-01
ajmer(raj),demand rising,0.4,2014-12-01
ajmer(raj),price falling,0.18,2015-01-01
ajmer(raj),demand rising,0.1,2015-02-01
ajmer(raj),price falling,0.26,2015-04-01
ajmer(raj),demand rising,0.38,2015-06-01
ajmer(raj),high volatility,0.01,2015-07-01
ajmer(raj),demand rising,0.77,2015-08-01
ajmer(raj),demand rising,0.66,2015-09-01
ajmer(raj),price falling,0.28,2015-10-01
ajmer(raj),price falling,0.34,2015-11-01
ajmer(raj),price falling,0.5,2015-12-01
ajmer(raj),price falling,0.09,2016-01-01
ajmer(raj),high volatility,0.04,2016-02-01
aligarh(up),price falling,0.14,2015-04-01
aligarh(up),price falling,0.07,2015-05-01
aligarh(up),demand rising,0.21,2015-06-01
aligarh(up),demand rising,0.21,2015-07-01
aligarh(up),demand rising,0.67,2015-08-01
aligarh(up),demand rising,0.34,2015-09-01
aligarh(up),price falling,0.19,2015-10-01
aligarh(up),price falling,0.3,2015-11-01
aligarh(up),price falling,0.41,2015-12-01
aligarh(up),price falling,0.15,2016-01-01
aligarh(up),price falling,0.14,2016-02-01
alwar(raj),price falling,0.1,2010-02-01
alwar(raj),demand rising,0.3,2010-03-01
alwar(raj),price falling,0.41,2010-04-01
alwar(raj),price falling,0.29,2010-05-01
alwar(raj),demand rising,0.23,2010-06-01
alwar(raj),demand rising,0.14,2010-07-01
alwar(raj),demand rising,0.25,2010-08-01
alwar(raj),demand rising,0.51,2010-09-01
alwar(raj),price falling,0.07,2010-10-01
alwar(raj),demand rising,0.3,2010-11-01
alwar(raj),demand rising,0.09,2010-12-01
alwar(raj),high volatility,0.0,2011-01-01
alwar(raj),price falling,0.71,2011-02-01
alwar(raj),demand rising,0.34,2011-04-01
alwar(raj),price falling,0.17,2011-05-01
alwar(raj),demand rising,0.11,2011-06-01
alwar(raj),demand rising,0.18,2011-07-01
alwar(raj),demand rising,0.17,2011-08-01
alwar(raj),demand rising,0.65,2011-09-01
alwar(raj),price falling,0.11,2011-10-01
alwar(raj),price falling,0.44,2011-11-01
alwar(raj),price falling,0.35,2011-12-01
alwar(raj),price falling,0.42,2012-01-01
alwar(raj),demand rising,0.06,2012-02-01
alwar(raj),demand rising,1.47,2012-03-01
alwar(raj),high volatility,0.02,2012-04-01
alwar(raj),price falling,0.17,2012-05-01
alwar(raj),demand rising,0.07,2012-06-01
alwar(raj),demand rising,0.19,2012-07-01
alwar(raj),price falling,0.06,2012-08-01
alwar(raj),high volatility,0.04,2012-09-01
alwar(raj),demand rising,0.17,2012-11-01
alwar(raj),demand rising,0.15,2012-12-01
alwar(raj),high volatility,0.05,2013-01-01
alwar(raj),demand rising,0.07,2013-02-01
alwar(raj),demand rising,0.49,2013-07-01
alwar(raj),demand rising,1.08,2013-08-01
alwar(raj),high volatility,0.01,2013-09-01
alwar(raj),demand rising,0.12,2013-10-01
alwar(raj),price falling,0.26,2013-11-01
alwar(raj),price falling,0.56,2013-12-01
alwar(raj),price falling,0.33,2014-01-01
alwar(raj),price falling,0.21,2014-02-01
alwar(raj),demand rising,1.65,2014-08-01
alwar(raj),demand rising,0.05,2014-09-01
alwar(raj),price falling,0.2,2014-10-01
alwar(raj),price falling,0.14,2014-11-01
alwar(raj),demand rising,0.1,2014-12-01
alwar(raj),price falling,0.35,2015-01-01
alwar(raj),demand rising,0.27,2015-02-01
alwar(raj),demand rising,0.42,2015-03-01
alwar(raj),price falling,0.12,2015-04-01
alwar(raj),high volatility,0.05,2015-05-01
alwar(raj),price falling,0.17,2015-06-01
alwar(raj),demand rising,2.47,2015-09-01
alwar(raj),price falling,0.26,2015-10-01
alwar(raj),price falling,0.38,2015-11-01
alwar(raj),price falling,0.42,2015-12-01
alwar(raj),price falling,0.09,2016-01-01
alwar(raj),high volatility,0.02,2016-02-01
amritsar(pb),price falling,0.08,2005-02-01
amritsar(pb),demand rising,0.1,2005-05-01
amritsar(pb),price falling,0.2,2005-06-01
amritsar(pb),demand rising,0.38,2005-07-01
amritsar(pb),demand rising,1.3,2005-09-01
amritsar(pb),demand rising,0.49,2005-10-01
amritsar(pb),price falling,0.25,2005-11-01
amritsar(pb),price falling,0.31,2005-12-01
amritsar(pb),price falling,0.27,2006-01-01
amritsar(pb),price falling,0.32,2006-02-01
amritsar(pb),price falling,0.07,2006-03-01
amritsar(pb),high volatility,0.04,2006-04-01
amritsar(pb),high volatility,0.03,2006-05-01
amritsar(pb),high volatility,0.03,2006-06-01
amritsar(pb),high volatility,0.02,2006-07-01
amritsar(pb),demand rising,0.09,2006-08-01
amritsar(pb),demand rising,0.82,2007-04-01
amritsar(pb),price falling,0.16,2007-05-01
amritsar(pb),demand rising,0.06,2007-06-01
amritsar(pb),demand rising,0.45,2007-07-01
amritsar(pb),demand rising,0.32,2007-08-01
amritsar(pb),demand rising,0.33,2007-09-01
amritsar(pb),demand rising,0.26,2007-10-01
amritsar(pb),price falling,0.66,2008-01-01
amritsar(pb),price falling,0.22,2008-03-01
amritsar(pb),demand rising,0.09,2008-04-01
amritsar(pb),price falling,0.08,2008-05-01
